GIS_Number,Map Name,Class,Doing_Business_As,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,2016 Total,2008 total,Sale date,Amount,Non-Useable Transaction Code,Recording
1.4284E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.096,,,,,,,0,46520,,,,
1.42826E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH AVE SW,CEDAR RAPIDS CITY OF,0.161,,,,,,,0,46535,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,J AVE NW,CEDAR RAPIDS CITY OF,0.126,,,,,,,0,46614,,,,
1.42726E+14,CITY PROPERTY,EXEMPT,VACANT LAND,7TH ST SE,CEDAR RAPIDS CITY OF,0.088,,,,,,,0,46698,,,,
1.41646E+14,CITY PROPERTY,EXEMPT,VACANT LAND,12TH ST NE,CEDAR RAPIDS CITY OF,0.092,,,,,,,0,46817,,,,
1.42019E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,47054,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,A ST SW,CEDAR RAPIDS CITY OF,0.057,,,,,,,0,47099,,,,
1.42919E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST SW,CEDAR RAPIDS CITY OF,0.076,,,,,,,0,47370,,,,
1.42918E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST SW,CEDAR RAPIDS CITY OF,0.119,,,,,,,0,47377,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,B ST SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,47612,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,I AVE NW,CEDAR RAPIDS CITY OF,0.13,,,,,,,0,48172,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,G AVE NW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,48247,,,,
1.42833E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH AVE SW,CEDAR RAPIDS CITY OF,0.091,,,,,,,0,48355,,,,
1.4291E+14,CITY PROPERTY,EXEMPT,VACANT LAND,B AVE NW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,48364,,,,
1.42826E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH AVE SW,CEDAR RAPIDS CITY OF,0.053,,,,,,,0,48475,,,,
1.42918E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND AVE SW,CEDAR RAPIDS CITY OF,0.068,,,,,,,0,48516,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.074,,,,,,,0,48541,,,,
